Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
3190000.0 ; 5.432506E-5
3200000.0 ; 5.438182E-5
3210000.0 ; 5.443859E-5
3220000.0 ; 5.449535E-5
3230000.0 ; 5.455211E-5
3240000.0 ; 5.460887E-5
3250000.0 ; 5.466563E-5
3260000.0 ; 5.472239E-5
3270000.0 ; 5.477915E-5
3280000.0 ; 5.483591E-5
3290000.0 ; 5.489267E-5
3300000.0 ; 5.494944E-5
3310000.0 ; 5.50062E-5
3320000.0 ; 5.506296E-5
3330000.0 ; 5.511972E-5
3340000.0 ; 5.517648E-5
3350000.0 ; 5.523324E-5
3360000.0 ; 5.529E-5
3370000.0 ; 5.534676E-5
3380000.0 ; 5.540353E-5
3390000.0 ; 5.546029E-5
3400000.0 ; 5.551705E-5
3410000.0 ; 5.557381E-5
3420000.0 ; 5.563057E-5
3430000.0 ; 5.568733E-5
3440000.0 ; 5.574409E-5
3450000.0 ; 5.580085E-5
3460000.0 ; 5.585762E-5
3470000.0 ; 5.591438E-5
3480000.0 ; 5.597114E-5
3490000.0 ; 5.60279E-5
3500000.0 ; 5.608466E-5
3510000.0 ; 5.613686E-5
3520000.0 ; 5.618906E-5
3530000.0 ; 5.624126E-5
3540000.0 ; 5.629346E-5
3550000.0 ; 5.634566E-5
3560000.0 ; 5.639786E-5
3570000.0 ; 5.645007E-5
3580000.0 ; 5.650227E-5
3590000.0 ; 5.655447E-5
3600000.0 ; 5.660667E-5
3610000.0 ; 5.665887E-5
3620000.0 ; 5.671107E-5
3630000.0 ; 5.676327E-5
3640000.0 ; 5.681547E-5
3650000.0 ; 5.686767E-5
3660000.0 ; 5.691987E-5
3670000.0 ; 5.697207E-5
3680000.0 ; 5.702427E-5
3690000.0 ; 5.707648E-5
3700000.0 ; 5.712868E-5
3710000.0 ; 5.718088E-5
3720000.0 ; 5.723308E-5
3730000.0 ; 5.728528E-5
3740000.0 ; 5.733748E-5
3750000.0 ; 5.738968E-5
3760000.0 ; 5.744188E-5
3770000.0 ; 5.749408E-5
3780000.0 ; 5.754628E-5
3790000.0 ; 5.759848E-5
3800000.0 ; 5.765068E-5
3810000.0 ; 5.770288E-5
3820000.0 ; 5.775509E-5
3830000.0 ; 5.780729E-5
3840000.0 ; 5.785949E-5
3850000.0 ; 5.791169E-5
3860000.0 ; 5.796389E-5
3870000.0 ; 5.801609E-5
3880000.0 ; 5.806829E-5
3890000.0 ; 5.812049E-5
3900000.0 ; 5.817269E-5
3910000.0 ; 5.822489E-5
3920000.0 ; 5.827709E-5
3930000.0 ; 5.832929E-5
3940000.0 ; 5.83815E-5
3950000.0 ; 5.84337E-5
3960000.0 ; 5.84859E-5
3970000.0 ; 5.85381E-5
3980000.0 ; 5.85903E-5
3990000.0 ; 5.86425E-5
4000000.0 ; 5.86947E-5
4010000.0 ; 5.873612E-5
4020000.0 ; 5.877753E-5
4030000.0 ; 5.881895E-5
4040000.0 ; 5.886036E-5
4050000.0 ; 5.890178E-5
4060000.0 ; 5.894319E-5
4070000.0 ; 5.898461E-5
4080000.0 ; 5.902602E-5
4090000.0 ; 5.906744E-5
4100000.0 ; 5.910885E-5
4110000.0 ; 5.915027E-5
4120000.0 ; 5.919168E-5
4130000.0 ; 5.92331E-5
4140000.0 ; 5.927451E-5
4150000.0 ; 5.931593E-5
4160000.0 ; 5.935734E-5
4170000.0 ; 5.939876E-5
4180000.0 ; 5.944017E-5
4190000.0 ; 5.948159E-5
4200000.0 ; 5.9523E-5
4210000.0 ; 5.956442E-5
4220000.0 ; 5.960583E-5
4230000.0 ; 5.964725E-5
4240000.0 ; 5.968866E-5
4250000.0 ; 5.973008E-5
4260000.0 ; 5.977149E-5
4270000.0 ; 5.981291E-5
4280000.0 ; 5.985432E-5
4290000.0 ; 5.989574E-5
4300000.0 ; 5.993715E-5
4310000.0 ; 5.997857E-5
4320000.0 ; 6.001998E-5
4330000.0 ; 6.00614E-5
4340000.0 ; 6.010281E-5
4350000.0 ; 6.014423E-5
4360000.0 ; 6.018564E-5
4370000.0 ; 6.022706E-5
4380000.0 ; 6.026847E-5
4390000.0 ; 6.030989E-5
4400000.0 ; 6.03513E-5
4410000.0 ; 6.039272E-5
4420000.0 ; 6.043413E-5
4430000.0 ; 6.047555E-5
4440000.0 ; 6.051696E-5
4450000.0 ; 6.055838E-5
4460000.0 ; 6.059979E-5
4470000.0 ; 6.064121E-5
4480000.0 ; 6.068262E-5
4490000.0 ; 6.072404E-5
4500000.0 ; 6.076545E-5
4510000.0 ; 6.080772E-5
4520000.0 ; 6.084999E-5
4530000.0 ; 6.089226E-5
4540000.0 ; 6.093454E-5
4550000.0 ; 6.097681E-5
4560000.0 ; 6.101908E-5
4570000.0 ; 6.106135E-5
4580000.0 ; 6.110362E-5
4590000.0 ; 6.114589E-5
4600000.0 ; 6.118816E-5
4610000.0 ; 6.123044E-5
4620000.0 ; 6.127271E-5
4630000.0 ; 6.131498E-5
4640000.0 ; 6.135725E-5
4650000.0 ; 6.139952E-5
4660000.0 ; 6.144179E-5
4670000.0 ; 6.148406E-5
4680000.0 ; 6.152634E-5
4690000.0 ; 6.156861E-5
4700000.0 ; 6.161088E-5
4710000.0 ; 6.165315E-5
4720000.0 ; 6.169542E-5
4730000.0 ; 6.173769E-5
4740000.0 ; 6.177996E-5
4750000.0 ; 6.182224E-5
4760000.0 ; 6.186451E-5
4770000.0 ; 6.190678E-5
4780000.0 ; 6.194905E-5
4790000.0 ; 6.199132E-5
4800000.0 ; 6.203359E-5
4812998.0 ; 6.208854E-5
4813000.0 ; 6.208854E-5
4820000.0 ; 6.211813E-5
4830000.0 ; 6.216041E-5
4840000.0 ; 6.220268E-5
4850000.0 ; 6.224495E-5
4860000.0 ; 6.228722E-5
4870000.0 ; 6.232949E-5
4880000.0 ; 6.237176E-5
4890000.0 ; 6.241403E-5
4900000.0 ; 6.245631E-5
4902000.0 ; 6.246476E-5
4904000.0 ; 6.247321E-5
4906000.0 ; 6.248167E-5
4908000.0 ; 6.249012E-5
4910000.0 ; 6.249858E-5
4912000.0 ; 6.250703E-5
4914000.0 ; 6.251549E-5
4916000.0 ; 6.252394E-5
4918000.0 ; 6.253239E-5
4920000.0 ; 6.254085E-5
4922000.0 ; 6.25493E-5
4924000.0 ; 6.255776E-5
4926000.0 ; 6.256621E-5
4928000.0 ; 6.257467E-5
4930000.0 ; 6.258312E-5
4931000.0 ; 6.258735E-5
4932000.0 ; 6.259157E-5
4933000.0 ; 6.25958E-5
4934000.0 ; 6.260003E-5
4935000.0 ; 6.260426E-5
4935500.0 ; 6.260637E-5
4936000.0 ; 6.260848E-5
4936500.0 ; 6.26106E-5
4937000.0 ; 6.261271E-5
