Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1170.174 ; 9.028363
1171.521 ; 9.025263
1172.867 ; 9.022306
1174.421 ; 9.019033
1175.975 ; 9.015875
1177.529 ; 9.012808
1179.083 ; 9.009811
1180.637 ; 9.006872
1182.191 ; 9.003978
1185.299 ; 8.998305
1188.407 ; 8.992734
1191.515 ; 8.987242
1194.623 ; 8.98181
1197.73 ; 8.976426
1201.046 ; 8.970723
1204.361 ; 8.965058
1210.991 ; 8.953812
1220.523 ; 8.937802
1230.054 ; 8.92193
1239.585 ; 8.906181
1249.116 ; 8.890554
1268.178 ; 8.859548
1287.24 ; 8.828931
1325.364 ; 8.768701
1363.488 ; 8.709646
1443.052 ; 8.59067
1522.616 ; 8.477116
1681.744 ; 8.261031
2000.0 ; 7.877396
2152.968 ; 7.712462
2305.935 ; 7.556475
2316.862 ; 7.545752
2330.179 ; 7.532753
2333.508 ; 7.529514
2336.837 ; 7.526279
2338.502 ; 7.524663
2340.166 ; 7.523049
2341.831 ; 7.521435
2342.663 ; 7.520629
2343.495 ; 7.519823
2343.944 ; 7.519389
2344.392 ; 7.518955
2344.616 ; 7.518739
2344.84 ; 7.518522
2345.064 ; 7.518306
2345.288 ; 7.518089
2345.512 ; 7.517873
2345.736 ; 7.517657
2345.96 ; 7.517441
2346.184 ; 7.517225
2346.408 ; 7.51701
2346.632 ; 7.516795
2346.856 ; 7.51658
2347.08 ; 7.516366
2347.262 ; 7.516192
2347.443 ; 7.516019
2347.625 ; 7.515846
2347.806 ; 7.515674
2348.169 ; 7.51533
2348.532 ; 7.514987
2348.916 ; 7.514623
2349.299 ; 7.514259
2349.56 ; 7.51401
2349.82 ; 7.51376
2350.0 ; 7.513587
2350.26 ; 7.513335
2350.519 ; 7.513083
2350.837 ; 7.512772
2351.154 ; 7.51246
2351.709 ; 7.511914
2351.987 ; 7.51164
2352.264 ; 7.511368
2352.423 ; 7.511212
2352.582 ; 7.511056
2352.741 ; 7.5109
2352.899 ; 7.510746
2353.058 ; 7.510591
2353.216 ; 7.510437
2353.375 ; 7.510282
2353.533 ; 7.510129
2353.692 ; 7.509975
2353.851 ; 7.509821
2354.01 ; 7.509667
2354.168 ; 7.509514
2354.327 ; 7.50936
2354.485 ; 7.509207
2354.644 ; 7.509054
2354.802 ; 7.508901
2355.06 ; 7.508652
2355.318 ; 7.508403
