Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
17728.57 ; 0.003651097
17730.75 ; 0.003852853
17731.84 ; 0.003999512
17732.93 ; 0.004205679
17734.07 ; 0.004543575
17734.64 ; 0.004796094
17735.2 ; 0.005131829
17735.77 ; 0.005602439
17736.33 ; 0.006245878
17736.62 ; 0.006673172
17736.9 ; 0.00716183
17737.18 ; 0.007738633
17737.46 ; 0.008418712
17737.75 ; 0.00925029
17738.03 ; 0.01019598
17738.31 ; 0.01130389
17738.59 ; 0.01259807
17738.88 ; 0.01416306
17739.16 ; 0.01592062
17739.44 ; 0.01795185
17739.72 ; 0.02028994
17740.01 ; 0.02307236
17740.29 ; 0.02614478
17740.57 ; 0.02963423
17740.85 ; 0.03357851
17741.14 ; 0.03818312
17741.42 ; 0.04316787
17741.7 ; 0.04871669
17741.98 ; 0.05486062
17742.47 ; 0.06712218
17742.96 ; 0.08138637
17743.45 ; 0.09768379
17743.93 ; 0.1155643
17744.42 ; 0.1356135
17744.9 ; 0.1567477
17745.87 ; 0.2023237
17746.84 ; 0.2479503
17747.81 ; 0.2881032
17748.34 ; 0.3056701
17748.86 ; 0.3188722
17749.42 ; 0.3279223
17749.87 ; 0.3309773
17750.0 ; 0.3311378
17750.04 ; 0.3311216
17750.14 ; 0.3309464
17750.24 ; 0.3305788
17750.43 ; 0.329353
17750.57 ; 0.3280115
17750.86 ; 0.324073
17751.15 ; 0.3186209
17751.67 ; 0.3053216
17752.18 ; 0.2884049
17753.14 ; 0.2487815
17754.1 ; 0.2036933
17755.07 ; 0.1580574
17755.55 ; 0.1368515
17756.03 ; 0.1171025
17756.51 ; 0.09907877
17756.99 ; 0.08294087
17757.47 ; 0.06875175
17757.95 ; 0.05649088
17758.23 ; 0.05019674
17758.5 ; 0.04469766
17758.78 ; 0.03955718
17759.05 ; 0.03511163
17759.33 ; 0.03099705
17759.6 ; 0.02747301
17759.88 ; 0.02424187
17760.15 ; 0.02149964
17760.43 ; 0.0190074
17760.7 ; 0.01691017
17760.98 ; 0.01501955
17761.25 ; 0.01344088
17761.53 ; 0.01202808
17761.8 ; 0.01085642
17762.08 ; 0.009814411
17762.35 ; 0.008955138
17762.63 ; 0.008194743
17762.9 ; 0.00757033
17763.18 ; 0.00701961
17763.45 ; 0.006568454
17764.0 ; 0.005845572
17764.55 ; 0.005322872
17765.1 ; 0.004942005
17765.65 ; 0.004660705
17766.2 ; 0.004448938
17766.74 ; 0.00428835
17767.6 ; 0.004096871
17768.46 ; 0.003955683
17770.18 ; 0.003756437
17773.61 ; 0.003515886
17777.04 ; 0.003373377
17780.47 ; 0.003280687
17787.34 ; 0.003170132
17794.2 ; 0.003109112
17809.03 ; 0.003043271
17823.86 ; 0.003013818
17853.52 ; 0.002987984
17912.84 ; 0.002974512
18031.47 ; 0.002967353
18277.54 ; 0.002970033
18523.61 ; 0.0029779
19015.74 ; 0.002999084
20000.0 ; 0.003085475
20071.57 ; 0.003113147
20107.35 ; 0.003150069
20125.24 ; 0.00320695
20134.19 ; 0.003271376
20143.13 ; 0.003417508
20147.28 ; 0.003561354
20149.35 ; 0.003678407
20151.42 ; 0.003863846
20152.46 ; 0.004010893
20153.49 ; 0.004228433
20154.53 ; 0.004579764
20155.05 ; 0.004836107
20155.56 ; 0.005164012
20156.08 ; 0.005601868
20156.6 ; 0.006177077
20157.12 ; 0.006930896
20157.63 ; 0.00789239
20158.15 ; 0.009158564
20158.67 ; 0.01078306
20158.93 ; 0.01175417
20159.19 ; 0.01284528
20159.7 ; 0.01537692
20160.04 ; 0.01738766
20160.37 ; 0.01961499
20160.7 ; 0.02213736
20161.03 ; 0.02497676
20161.36 ; 0.02815331
20161.69 ; 0.03168438
20162.02 ; 0.03558372
20162.35 ; 0.0398606
20163.02 ; 0.04971437
20163.68 ; 0.06089989
20164.34 ; 0.07337592
20165.0 ; 0.08682599
20166.16 ; 0.111366
20167.32 ; 0.1341239
20167.94 ; 0.1442408
20168.56 ; 0.1522208
20169.35 ; 0.1585986
20169.87 ; 0.1602054
20170.0 ; 0.160272
20170.53 ; 0.1591512
20171.17 ; 0.1548956
20171.73 ; 0.1487657
20172.29 ; 0.1406861
20173.26 ; 0.1231772
20174.22 ; 0.1033201
20175.35 ; 0.07957991
20175.91 ; 0.06850298
20176.47 ; 0.05822825
20177.04 ; 0.04876553
20177.6 ; 0.04054272
20178.16 ; 0.03341468
20178.72 ; 0.02735812
20179.11 ; 0.02374035
20179.49 ; 0.02065705
20179.87 ; 0.01797725
20180.25 ; 0.01566613
20180.63 ; 0.01368769
20181.01 ; 0.01200595
20181.39 ; 0.01058588
20181.77 ; 0.009394173
20182.16 ; 0.008375995
20182.54 ; 0.007554527
20182.92 ; 0.006875638
20183.3 ; 0.006316623
20183.68 ; 0.005857592
20184.06 ; 0.005481333
20184.44 ; 0.005173131
20184.82 ; 0.004920538
20185.59 ; 0.004538209
20186.35 ; 0.004280315
20187.11 ; 0.004098848
20187.87 ; 0.00396663
20189.39 ; 0.003787662
20190.91 ; 0.003669934
20193.48 ; 0.003537629
20196.05 ; 0.003450082
20202.15 ; 0.0033279
20208.25 ; 0.003262827
20220.45 ; 0.003200546
20244.85 ; 0.003158741
20293.65 ; 0.003142077
20437.49 ; 0.003159398
20581.32 ; 0.003186673
20868.98 ; 0.003249838
21444.3 ; 0.003410984
22019.62 ; 0.003635644
22307.28 ; 0.003782329
22451.11 ; 0.003886379
22594.94 ; 0.004062598
22633.47 ; 0.004161583
22671.99 ; 0.004338772
22691.26 ; 0.004497738
22710.52 ; 0.004750021
22720.15 ; 0.004951851
22729.78 ; 0.005233895
22739.41 ; 0.005661484
22744.23 ; 0.005964616
22749.04 ; 0.006355958
22754.82 ; 0.006998841
22757.71 ; 0.00742517
22760.6 ; 0.007952474
22763.49 ; 0.008615193
22766.38 ; 0.009463557
22769.27 ; 0.01057543
22770.72 ; 0.01126985
22772.16 ; 0.01207896
22773.93 ; 0.01328326
22775.7 ; 0.01479791
22777.47 ; 0.01675287
22778.35 ; 0.0179526
22779.23 ; 0.01935787
22780.12 ; 0.02105393
22781.0 ; 0.02310215
22781.88 ; 0.02567543
22782.76 ; 0.02902277
22783.21 ; 0.03115483
22783.65 ; 0.03360423
22784.09 ; 0.03650272
22784.53 ; 0.0399601
22784.97 ; 0.0441126
22785.41 ; 0.04912788
22785.85 ; 0.0552104
22786.29 ; 0.062607
22786.74 ; 0.07183842
22787.18 ; 0.08284938
22787.62 ; 0.09623178
22788.06 ; 0.112452
22788.5 ; 0.132037
22788.94 ; 0.1555726
22789.38 ; 0.183697
22789.82 ; 0.2170918
22790.27 ; 0.2574366
22790.71 ; 0.3036695
22791.15 ; 0.3573157
22791.59 ; 0.4190254
22792.03 ; 0.4893631
22792.47 ; 0.5687685
22792.91 ; 0.6575132
22793.35 ; 0.7556585
22793.8 ; 0.8655576
22794.24 ; 0.9818349
22795.12 ; 1.23699
22796.88 ; 1.794131
22797.84 ; 2.083453
22798.8 ; 2.327257
22799.36 ; 2.437744
22799.92 ; 2.519271
22800.0 ; 2.528345
22800.24 ; 2.551528
22800.47 ; 2.567937
22800.93 ; 2.583274
22801.0 ; 2.583541
22801.22 ; 2.580814
22801.43 ; 2.57318
22801.86 ; 2.54244
22802.4 ; 2.476182
22802.94 ; 2.38155
22803.75 ; 2.194342
22804.55 ; 1.969336
22807.51 ; 1.051238
22808.25 ; 0.8527153
22808.99 ; 0.6789062
22809.36 ; 0.6018858
22809.73 ; 0.5315057
22810.1 ; 0.4676585
22810.46 ; 0.4116146
22810.83 ; 0.3599871
22811.2 ; 0.3140789
22811.57 ; 0.2735079
22811.94 ; 0.237864
22812.31 ; 0.2067232
22812.68 ; 0.1796586
22813.05 ; 0.1562511
22813.41 ; 0.1366021
22813.78 ; 0.1192458
22814.15 ; 0.1044128
22814.52 ; 0.0917742
22814.89 ; 0.08103124
22815.26 ; 0.07191542
22815.63 ; 0.06418816
22816.0 ; 0.05763951
22816.37 ; 0.05208647
22816.74 ; 0.04737085
22817.11 ; 0.04335706
22817.48 ; 0.03992968
22817.85 ; 0.03699123
22818.59 ; 0.03226708
22819.32 ; 0.02872291
22820.06 ; 0.0259192
22820.8 ; 0.02367645
22821.54 ; 0.02183698
22822.27 ; 0.02031401
22823.75 ; 0.0178514
22825.22 ; 0.01597386
22826.97 ; 0.01423047
22828.71 ; 0.01286787
22830.46 ; 0.01176557
22832.2 ; 0.01086837
22833.95 ; 0.01011908
22835.69 ; 0.009493151
22839.18 ; 0.008504249
22842.67 ; 0.007769164
22846.16 ; 0.007207258
22849.65 ; 0.006766489
22853.13 ; 0.006414319
22860.65 ; 0.005858353
22868.16 ; 0.005486125
