Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
2340.166 ; 7.531508
2341.831 ; 7.530399
2342.663 ; 7.530017
2343.495 ; 7.529877
2343.944 ; 7.529991
2344.392 ; 7.530353
2344.616 ; 7.530681
2344.84 ; 7.531151
2345.064 ; 7.531812
2345.288 ; 7.532726
2345.512 ; 7.533975
2345.736 ; 7.53566
2345.96 ; 7.537905
2346.184 ; 7.540852
2346.408 ; 7.544661
2346.632 ; 7.5495
2346.856 ; 7.555534
2347.08 ; 7.562904
2347.262 ; 7.569946
2347.443 ; 7.577913
2347.625 ; 7.586877
2347.806 ; 7.596679
2348.169 ; 7.618504
2348.532 ; 7.641846
2348.916 ; 7.665607
2349.299 ; 7.685148
2349.56 ; 7.694469
2349.82 ; 7.699642
2350.0 ; 7.700574
2350.26 ; 7.697993
2350.519 ; 7.691006
2350.837 ; 7.677211
2351.154 ; 7.65919
2351.709 ; 7.62293
2351.987 ; 7.604959
2352.264 ; 7.588403
2352.423 ; 7.579739
2352.582 ; 7.571774
2352.741 ; 7.564542
2352.899 ; 7.558088
2353.058 ; 7.552317
2353.216 ; 7.547272
2353.375 ; 7.542844
2353.533 ; 7.539037
2353.692 ; 7.535744
2353.851 ; 7.532932
2354.01 ; 7.53054
2354.168 ; 7.528523
2354.327 ; 7.526804
2354.485 ; 7.525355
2354.644 ; 7.524116
2354.802 ; 7.523066
2355.06 ; 7.52166
2355.318 ; 7.520542
2355.576 ; 7.51963
2355.833 ; 7.518869
2356.349 ; 7.517632
2356.864 ; 7.516632
2357.895 ; 7.514992
2358.926 ; 7.513602
2360.988 ; 7.511163
2363.049 ; 7.508936
2367.49 ; 7.504411
2371.931 ; 7.500037
2380.813 ; 7.491436
2400.163 ; 7.473014
2419.513 ; 7.454725
2458.212 ; 7.418761
2535.61 ; 7.348346
2690.407 ; 7.213201
3000.0 ; 6.963601
3250.0 ; 6.780717
3500.0 ; 6.611699
3750.0 ; 6.45473
4000.0 ; 6.308298
4250.0 ; 6.171136
4500.0 ; 6.042175
5000.0 ; 5.805275
5500.0 ; 5.591667
6000.0 ; 5.396898
6500.0 ; 5.2176
7000.0 ; 5.051005
7500.0 ; 4.894957
8000.0 ; 4.747706
8500.0 ; 4.607805
9000.0 ; 4.474051
10000.0 ; 4.220986
12296.65 ; 3.68385
12392.34 ; 3.662166
12414.48 ; 3.65718
12425.55 ; 3.654733
12431.08 ; 3.653565
12433.85 ; 3.653028
12435.23 ; 3.652794
12436.61 ; 3.652621
12437.55 ; 3.652586
12438.02 ; 3.652617
12438.48 ; 3.652698
12438.95 ; 3.652852
12439.42 ; 3.653105
12439.89 ; 3.653495
12440.35 ; 3.654052
12440.59 ; 3.654429
12440.82 ; 3.654857
12441.06 ; 3.655381
12441.29 ; 3.655967
12441.53 ; 3.656676
12441.76 ; 3.657459
12441.99 ; 3.658353
12442.22 ; 3.659369
12442.46 ; 3.660571
12442.69 ; 3.661867
12442.92 ; 3.663315
12443.15 ; 3.664923
12443.62 ; 3.668741
12444.08 ; 3.673204
12444.44 ; 3.677209
12444.79 ; 3.681525
12445.5 ; 3.69144
12446.92 ; 3.714038
12447.67 ; 3.725593
